Date,Issue code,ISIN code,Exchange code,Issue classification,Industry code,Securities under supervision and to be delisted flag,Time,Session distinction,Price,Trading volume,Short selling regulation flag,Closing price input flag,State flag,Transaction ID
20200302,92790,JP3264860002,1,114,6100, ,91124198039,1,2829,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91151787425,1,2819,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91151787425,1,2829,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91328674893,1,2819,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91328674893,1,2820,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91415832033,1,2820,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91549547612,1,2813,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91638628141,1,2829,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91638629296,1,2829,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91815235718,1,2844,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91817528171,1,2850,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91817528834,1,2850,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91817529510,1,2850,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91941104256,1,2861,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91954875093,1,2867,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91954876218,1,2867,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,91954882311,1,2867,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92026455643,1,2849,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92038443111,1,2850,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92038445123,1,2869,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92233870555,1,2864,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92243876176,1,2849,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92339868323,1,2848,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92342230520,1,2847,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92342231708,1,2861,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92509610402,1,2841,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92509611617,1,2840,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92509664526,1,2839,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92847229179,1,2812,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,92954621373,1,2812,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93044896073,1,2812,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93354807451,1,2825,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93527007735,1,2829,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93636557182,1,2839,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93851529197,1,2830,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,93851531282,1,2836,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257729570,1,2833,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257730059,1,2834,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257733134,1,2834,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257735036,1,2835,100,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257769336,1,2835,300,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257778342,1,2839,200,0, ,  ,2.02003E+24
20200302,92790,JP3264860002,1,114,6100, ,94257780588,1,2840,100,0, ,  ,2.02003E+24
